"","X","X.1","lakeID","dateSample","time","TOD","depthClass","counts","ind_m3","mgC_L","EPA_mgC","DHA_mgC","PC","C18_mgC","depth","DOmgL","temp","PAR","CPUE","fish_m3","zoops.allDepths","depthZoops","Daphnia","Copepods","Holopedium","lx","reactionDist","muEst","mu0","mu0.01","mu0.1","mu0.25","mu0.5","mu1","mu5","growth"
"16",16,16,"BA","6/2/13","23:30","Night","Hypo",27,1800,0.832,0.00207114769415166,0.00177004522066865,0.00587986595174263,0.00276042295595162,6,3.9,5.5,0,0.769349299,0.002204185741635,287066.666666667,121666.666666667,9466.66666666667,71133.3333333333,12666.6666666667,0,0,0.105442723081869,0.105442723081869,0.105442723081869,0.105442723081869,0.105442723081869,0.105442723081869,0.105442723081869,0.105442723081869,0.0244850817864742
"17",17,17,"BA","6/3/13","12:00","Day","PML",0,0,0.9455,0.000640376156886874,0,0.00450775295109612,0.00172769302085614,1,8.8,16.6,1371.5,0.769349299,0.002204185741635,329933.333333333,175800,12266.6666666667,87933.3333333333,33133.3333333333,74061,0.421347373987518,7.52301592530469e-06,0,3.41305897375252e-05,0.000341305897375252,0.00085326474343813,0.00170652948687626,0.00341305897375252,0.0170652948687626,-0.00690243852894231
"18",18,18,"BA","6/3/13","12:00","Day","Hypo",0,0,0.832,0.00207114769415166,0.00177004522066865,0.00587986595174263,0.00276042295595162,6,3.66,5.4,10.61,0.769349299,0.002204185741635,329933.333333333,154133.333333333,4200,107733.333333333,12466.6666666667,572.94,0.414955088193739,7.29648319617582e-06,0,3.31028509002309e-05,0.000331028509002309,0.000827571272505772,0.00165514254501154,0.00331028509002309,0.0165514254501154,0.0244483816957438
"19",19,19,"BA","6/6/13","12:00","Day","PML",0,0,0.9455,0.000640376156886874,0,0.00450775295109612,0.00172769302085614,1,8.8,16.6,1371.5,0.769349299,0.002204185741635,329933.333333333,175800,12266.6666666667,87933.3333333333,33133.3333333333,74061,0.421347373987518,7.52301592530469e-06,0,3.41305897375252e-05,0.000341305897375252,0.00085326474343813,0.00170652948687626,0.00341305897375252,0.0170652948687626,-0.00690243852894231
"20",20,20,"BA","6/6/13","12:00","Day","Hypo",0,0,0.832,0.00207114769415166,0.00177004522066865,0.00587986595174263,0.00276042295595162,6,3.66,5.4,10.61,0.769349299,0.002204185741635,329933.333333333,154133.333333333,4200,107733.333333333,12466.6666666667,572.94,0.414955088193739,7.29648319617582e-06,0,3.31028509002309e-05,0.000331028509002309,0.000827571272505772,0.00165514254501154,0.00331028509002309,0.0165514254501154,0.0244483816957438
"21",21,21,"BR","6/3/13","23:30","Night","PML",132,8800,1.1395,0.00112620452594477,0,0.0103021184730145,0.0017055863242452,1,8.34,17.7,0,0.823009699,0.002357922787635,385666.666666667,321066.666666667,107933.333333333,145466.666666667,1066.66666666667,0,0,0.0452135154632845,0.0452135154632845,0.0452135154632845,0.0452135154632845,0.0452135154632845,0.0452135154632845,0.0452135154632845,0.0452135154632845,0.0419615114490218
"22",22,22,"BR","6/3/13","23:30","Night","Hypo",39,2600,2.606,0,0,0.0238414351496546,0.000391375661280153,3,2.11,13.3,0,0.823009699,0.002357922787635,385666.666666667,64600,18800,24666.6666666667,466.666666666667,0,0,0.076693170531572,0.076693170531572,0.076693170531572,0.076693170531572,0.076693170531572,0.076693170531572,0.076693170531572,0.076693170531572,0.0374946417009199
"23",23,23,"BR","6/4/13","12:00","Day","PML",5,333.333333333333,1.1395,0.00112620452594477,0,0.0103021184730145,0.0017055863242452,1,8.65,16.8,193.01,0.823009699,0.002357922787635,254933.333333333,182200,23533.3333333333,84666.6666666667,0,10422.54,0.419557970865211,0.00786515166393377,0.00785482461317037,0.00789862185206875,0.00829279700215417,0.00894975558562987,0.0100446865580894,0.0122345485030084,0.0297534440623603,0.0413988376382651
"24",24,24,"BR","6/4/13","12:00","Day","Hypo",1,66.6666666666667,2.606,0,0,0.0238414351496546,0.000391375661280153,3,2.46,13.1,0,0.823009699,0.002357922787635,254933.333333333,72733.3333333333,2066.66666666667,24000,0,0,0,0.0178887296028977,0.0178887296028977,0.0178887296028977,0.0178887296028977,0.0178887296028977,0.0178887296028977,0.0178887296028977,0.0178887296028977,0.0373823263331054
"25",25,25,"WL","6/24/13","23:30","Night","PML",9,600,0.604,0.00146898454391378,0,0.00495658112582782,0.00219813054798005,0.5,6.41,25.3,0,0.403333333,0.001155549999045,106133.333333333,71200,38400,22600,2533.33333333333,0,0,0.00866485340140356,0.00866485340140356,0.00866485340140356,0.00866485340140356,0.00866485340140356,0.00866485340140356,0.00866485340140356,0.00866485340140356,0.00498625201861847
