"","X","X.1","lakeID","dateSample","time","TOD","depthClass","counts","ind_m3","mgC_L","EPA_mgC","DHA_mgC","PC","C18_mgC","depth","DOmgL","temp","PAR","CPUE","fish_m3","zoops.allDepths","depthZoops","Daphnia","Copepods","Holopedium","lx","reactionDist","muEst","mu0","mu0.01","mu0.1","mu0.25","mu0.5","mu1","mu5","growth"
"62",64,64,"RS","6/13/13","12:00","Day","Hypo",2,133.333333333333,1.22166666666667,0,0,NA,0.000712529333162212,4,0.12,6.5,0,5.235056842,0.01499843785233,336066.666666667,153800,3933.33333333333,113600,133.333333333333,0,0,0.018798326023384,0.018798326023384,0.018798326023384,0.018798326023384,0.018798326023384,0.018798326023384,0.018798326023384,0.018798326023384,NA
"63",65,65,"RS","6/13/13","23:30","Night","PML",81,5400,1.5,0.00216239328329319,0.000949351387419273,0.00835301818181818,0.00411412191017916,0.5,7.52,20.9,0,5.235056842,0.01499843785233,296000,136133.333333333,16000,81733.3333333333,1533.33333333333,0,0,0.187160833470317,0.187160833470317,0.187160833470317,0.187160833470317,0.187160833470317,0.187160833470317,0.187160833470317,0.187160833470317,0.110758246895273
"64",66,66,"RS","6/13/13","23:30","Night","Hypo",30,2000,1.22166666666667,0,0,NA,0.000712529333162212,4,0.12,6.5,0,5.235056842,0.01499843785233,296000,159866.666666667,11333.3333333333,102866.666666667,1133.33333333333,0,0,0.09786187370997,0.09786187370997,0.09786187370997,0.09786187370997,0.09786187370997,0.09786187370997,0.09786187370997,0.09786187370997,NA
"65",67,67,"RE","6/4/13","11:30","Day","PML",0,0,1.09,0.000963143315524183,0.000875684953434777,0.00842238532110092,0.00132191221778683,0.5,6.12,21.2,69.985,0,0,230200,0,0,0,0,3779.19,0.418306951953,NA,NA,NA,NA,NA,NA,NA,NA,0.113894936000811
"66",68,68,"RE","6/4/13","11:30","Day","Hypo",0,0,1.39083333333333,0,0,0.00997238466147394,0.00150618427607992,9,0.05,4,0,0,0,230200,230200,3600,106466.666666667,800,0,0,0,0,0,0,0,0,0,0,0
"67",69,69,"RE","6/14/13","11:30","Day","PML",0,0,1.09,0.000842051422406147,0,0.00842238532110092,0.00239014495026903,0.25,4.85,0,368.4,0,0,161800,64200,466.666666666667,31733.3333333333,0,19893.6,0.42022441421568,0,0,6.92266710238299e-05,0.000692266710238299,0.00173066677559575,0.00346133355119149,0.00692266710238299,0.0346133355119149,0.0324524587369339
"68",70,70,"RE","6/14/13","11:30","Day","Hypo",1,66.6666666666667,1.39083333333333,0,0,0.00997238466147394,0.00150618427607992,9,0.12,4,0,0,0,161800,97600,4800,43066.6666666667,133.333333333333,0,0,0.00770209191235873,0.00770209191235873,0.00770209191235873,0.00770209191235873,0.00770209191235873,0.00770209191235873,0.00770209191235873,0.00770209191235873,0
"69",71,71,"RS","7/18/13","12:15","Day","PML",24,1600,0.940714285714286,0.00073818247740351,0,0.0102064534883721,0.00866169110988323,0.25,5.38142857142857,0,415.8,5.235056842,0.01499843785233,219133.333333333,128333.333333333,27866.6666666667,75933.3333333333,15066.6666666667,22453.2,0.420339853490387,0.0319169326389185,0.0318402268530044,0.031891369369758,0.0323516520205403,0.033118789771844,0.0343973526906836,0.0369544785283628,0.0574114852297963,0.0322292381810174
"70",72,72,"RS","7/18/13","12:15","Day","Hypo",102,6800,1.22166666666667,0,0,NA,0.00320854458838884,3.5,0.19,8.5,0,5.235056842,0.01499843785233,219133.333333333,90800,22400,49400,13333.3333333333,0,0,0.168345723227269,0.168345723227269,0.168345723227269,0.168345723227269,0.168345723227269,0.168345723227269,0.168345723227269,0.168345723227269,NA
"71",73,73,"RS","7/18/13","23:55","Night","PML",194,12933.3333333333,0.940714285714286,0.00073818247740351,0,0.0102064534883721,0.00866169110988323,0.25,5.38142857142857,0,0,5.235056842,0.01499843785233,273866.666666667,134066.666666667,44733.3333333333,30600,54733.3333333333,0,0,0.160332071284391,0.160332071284391,0.160332071284391,0.160332071284391,0.160332071284391,0.160332071284391,0.160332071284391,0.160332071284391,0.0322292381810174
"72",74,74,"RS","7/18/13","23:55","Night","Hypo",48,3200,1.22166666666667,0,0,NA,0.00320854458838884,3.5,0.19,8.5,0,5.235056842,0.01499843785233,273866.666666667,139800,42200,53600,37400,0,0,0.0420512316731623,0.0420512316731623,0.0420512316731623,0.0420512316731623,0.0420512316731623,0.0420512316731623,0.0420512316731623,0.0420512316731623,NA
"73",75,75,"BA","7/22/13","11:30","Day","PML",0,0,0.7085,0,0,0.00446922724064926,0.00491967686481508,1,7.71,24.2,50.77,0.769349299,0.002204185741635,186466.666666667,37800,1533.33333333333,5866.66666666667,20800,2741.58,0.417846243985495,1.30908965470745e-05,0,5.93910771665007e-05,0.000593910771665007,0.00148477692916252,0.00296955385832503,0.00593910771665007,0.0296955385832503,-0.0113155934610759
"74",76,76,"BA","7/22/13","11:30","Day","Hypo",20,1333.33333333333,0.8235,0,0,0.00480365209471767,0.00715462059410352,5,0.82,7.6,0.75,0.769349299,0.002204185741635,186466.666666667,148666.666666667,29933.3333333333,97400,13533.3333333333,40.5,0.404816320538246,0.0247138737194811,0.024701586534068,0.0247573313162841,0.0252590343562285,0.0260952060894691,0.0274888256448702,0.0302760647556724,0.0525739776420899,0.00844896396885189
"75",77,77,"BA","7/27/13","11:30","Day","PML",0,0,0.7085,0,0,0.00446922724064926,0.00491967686481508,1,7.71,24.2,50.77,0.769349299,0.002204185741635,186466.666666667,37800,1533.33333333333,5866.66666666667,20800,2741.58,0.417846243985495,1.30908965470745e-05,0,5.93910771665007e-05,0.000593910771665007,0.00148477692916252,0.00296955385832503,0.00593910771665007,0.0296955385832503,-0.0113155934610759
"76",78,78,"BA","7/27/13","11:30","Day","Hypo",0,0,0.8235,0,0,0.00480365209471767,0.00715462059410352,5,0.82,7.6,0.75,0.769349299,0.002204185741635,186466.666666667,148666.666666667,29933.3333333333,97400,13533.3333333333,40.5,0.404816320538246,1.22871854131152e-05,0,5.57447822160438e-05,0.000557447822160438,0.0013936195554011,0.00278723911080219,0.00557447822160438,0.0278723911080219,0.00844896396885189
"77",79,79,"BA","7/22/13","23:30","Night","PML",39,2600,0.7085,0,0,0.00446922724064926,0.00491967686481508,1,7.71,24.2,0,0.769349299,0.002204185741635,236800,161066.666666667,64266.6666666667,81733.3333333333,12333.3333333333,0,0,0.02243513909741,0.02243513909741,0.02243513909741,0.02243513909741,0.02243513909741,0.02243513909741,0.02243513909741,0.02243513909741,-0.0113155934610759
"78",80,80,"BA","7/22/13","23:30","Night","Hypo",11,733.333333333333,0.8235,0,0,0.00480365209471767,0.00715462059410352,5,0.82,7.6,0,0.769349299,0.002204185741635,236800,75733.3333333333,17733.3333333333,51866.6666666667,3600,0,0,0.0229325443405568,0.0229325443405568,0.0229325443405568,0.0229325443405568,0.0229325443405568,0.0229325443405568,0.0229325443405568,0.0229325443405568,0.00844896396885189
"79",81,81,"BR","5/20/13","23:00","Night","PML",41,2733.33333333333,1.1395,0.000658980098008794,0,0.0103021184730145,0.00205464674245122,0.75,10.68,17.9,0,0.823009699,0.002357922787635,344133.333333333,219800,32333.3333333333,101466.666666667,533.333333333333,0,0,0.0468795367531607,0.0468795367531607,0.0468795367531607,0.0468795367531607,0.0468795367531607,0.0468795367531607,0.0468795367531607,0.0468795367531607,0.0421276263615489
"80",82,82,"BR","5/20/13","23:00","Night","Hypo",49,3266.66666666667,2.606,0.000674217522093768,0.000609719266077372,0.0238414351496546,0.00119455599901808,3,5.82,9.7,0,0.823009699,0.002357922787635,344133.333333333,124333.333333333,6000,72466.6666666667,66.6666666666667,0,0,0.301922002964462,0.301922002964462,0.301922002964462,0.301922002964462,0.301922002964462,0.301922002964462,0.301922002964462,0.301922002964462,0.209720980496408
"81",83,83,"BR","7/23/13","11:00","Day","PML",1207,80466.6666666667,1.43714285714286,0.00131487447913406,0,0.0151870675944334,0.00275689792919074,1,7.07,22.3,19.01,0.823009699,0.002357922787635,237800,179600,11600,95133.3333333333,0,1026.54,0.416179747576572,3.8468074196984,3.84679652615875,3.84684272588888,3.84725852346008,3.84795151941208,3.8491065126654,3.85141649917205,3.86989639122526,0.0410946081479033
"82",84,84,"BR","7/23/13","11:00","Day","Hypo",289,19266.6666666667,2.606,0,0,0.0238414351496546,0.0011483904758799,4,0.06,13.8,0,0.823009699,0.002357922787635,237800,58200,2466.66666666667,28466.6666666667,0,0,0,4.33148995979352,4.33148995979352,4.33148995979352,4.33148995979352,4.33148995979352,4.33148995979352,4.33148995979352,4.33148995979352,0
"83",85,85,"RB","7/24/13","11:30","Day","PML",9,600,0.7015,0,0,0.010737840342124,0.00263924607480592,1,7.44,22.6,277.7,0.769349299,0.002204185741635,382533.333333333,200866.666666667,171266.666666667,6733.33333333333,21800,14995.8,0.419943801377343,0.00194920740431475,0.00194276199268526,0.00197200368274677,0.00223517889330032,0.0026738042442229,0.00340484649576054,0.00486693099883582,0.016563607023438,0.0418475264239676
"84",86,86,"RB","7/24/13","11:30","Day","Hypo",268,17866.6666666667,1.49,0,0,0.00773927293064877,0.00331414876452748,4,0.09,9.4,2.96,0.769349299,0.002204185741635,382533.333333333,181666.666666667,86000,70400,23466.6666666667,159.84,0.411334257413388,0.11521514937307,0.115208965535561,0.115237020510205,0.115489515281993,0.115910339901641,0.116611714267721,0.11801446299988,0.129236452857154,0
"85",87,87,"WL","7/25/13","11:00","Day","PML",20,1333.33333333333,0.604,0,0,0.00495658112582782,0.0052467666459752,1,6.54,21.4,157.64,0.403333333,0.001155549999045,211466.666666667,106800,22133.3333333333,52200,3066.66666666667,8512.56,0.419330184162212,0.0334127583621215,0.0334066637162547,0.033459406097561,0.0339340875293176,0.0347252232489121,0.0360437827815694,0.0386809018468842,0.0597778543694023,0.00530765519636458
"86",88,88,"WL","7/25/13","11:00","Day","Hypo",22,1466.66666666667,NA,NA,NA,NA,NA,4,1.93,8.9,2.91,0.403333333,0.001155549999045,211466.666666667,104666.666666667,11066.6666666667,78333.3333333333,1533.33333333333,157.14,0.41127411569034,0.0735005228934311,0.0734946601757603,0.0735453954764889,0.0740020131830464,0.0747630426939755,0.0760314252121907,0.0785681902486211,0.0988623105400646,NA
"87",89,89,"HB","7/26/13","11:30","Day","PML",32,2133.33333333333,2.01888888888889,0.00246316938226887,0.00139384344083649,0.00690649697303247,0.00739401725184224,0.25,5.73461538461538,0,99.24,1.57274487,0.00450591405255,102266.666666667,75600,4200,53000,5666.66666666667,5358.96,0.418770149954591,0.281725514780836,0.281676504223404,0.281785273624818,0.282764198237539,0.28439573925874,0.287114974294076,0.292553444364748,0.336061204930121,0.0490682613696989
"88",90,90,"HB","7/26/13","11:30","Day","Hypo",211,14066.6666666667,1.8525,0.000854311692037285,0,0.00357412955465587,0.00184254063711438,3.5,0.1,5.9,0,1.57274487,0.00450591405255,102266.666666667,26666.6666666667,2933.33333333333,18333.3333333333,2666.66666666667,0,0,2.65932228028532,2.65932228028532,2.65932228028532,2.65932228028532,2.65932228028532,2.65932228028532,2.65932228028532,2.65932228028532,0
"89",91,91,"RB","5/20/13","23:00","Night","PML",32,2133.33333333333,0.7685,0.00128713885109455,0,0.00474903345724907,0.0025069814709453,0.75,10.98,15.8,0,0.769349299,0.002204185741635,378600,191533.333333333,2800,75600,16666.6666666667,0,0,0.422514756335106,0.422514756335106,0.422514756335106,0.422514756335106,0.422514756335106,0.422514756335106,0.422514756335106,0.422514756335106,0.000220478406328889
"90",92,92,"RB","5/20/13","23:00","Night","Hypo",0,0,1.34833333333333,0.00121325892105042,0.00326808394448642,0.00431041409147095,0.00535298208812803,4.5,7.8,6,0,0.769349299,0.002204185741635,378600,187066.666666667,3800,60600,19000,0,0,0,0,0,0,0,0,0,0,-0.00526607051758514
"91",93,93,"WL","7/28/13","23:00","Night","PML",31,2066.66666666667,0.604,0,0,0.00495658112582782,0.0052467666459752,1,7.41,18.1,0,0.403333333,0.001155549999045,176200,69733.3333333333,8000,32133.3333333333,1266.66666666667,0,0,0.143258909569873,0.143258909569873,0.143258909569873,0.143258909569873,0.143258909569873,0.143258909569873,0.143258909569873,0.143258909569873,0.00526799668769843
"92",94,94,"WL","7/28/13","23:00","Night","Hypo",55,3666.66666666667,NA,NA,NA,NA,NA,4,0.98,9.1,0,0.403333333,0.001155549999045,176200,106466.666666667,8133.33333333333,80200,4600,0,0,0.250002327647054,0.250002327647054,0.250002327647054,0.250002327647054,0.250002327647054,0.250002327647054,0.250002327647054,0.250002327647054,NA
"93",95,95,"HB","7/29/13","0:00","Night","PML",162,10800,2.01888888888889,0.00246316938226887,0.00139384344083649,0.00690649697303247,0.00739401725184224,0.25,5.73461538461538,0,0,1.57274487,0.00450591405255,130000,105800,8000,63333.3333333333,9933.33333333333,0,0,0.748643333881268,0.748643333881268,0.748643333881268,0.748643333881268,0.748643333881268,0.748643333881268,0.748643333881268,0.748643333881268,0.0490682613696989
"94",96,96,"HB","7/29/13","0:00","Night","Hypo",119,7933.33333333333,1.237,0.000649570779621297,0.00125520154114254,0.00918760307194826,0.00814989214270332,3.5,0.08,5.7,0,1.57274487,0.00450591405255,130000,24200,2400,17666.6666666667,2600,0,0,1.83309787514138,1.83309787514138,1.83309787514138,1.83309787514138,1.83309787514138,1.83309787514138,1.83309787514138,1.83309787514138,0
"95",97,97,"RE","7/29/13","11:00","Day","PML",2,133.333333333333,1.09,0.00284269174794431,0.00193809332097732,0.00842238532110092,0.00721693120181497,0.25,4.85,0,51.51,0,0,247533.333333333,57933.3333333333,733.333333333333,25466.6666666667,266.666666666667,2781.54,0.417867793858955,0.100827385034514,0.100827385034514,0.100872128901413,0.101274823703499,0.101945981706978,0.103064578379441,0.105301771724369,0.123199318483787,0.0660772692094114
"96",98,98,"RE","7/29/13","11:00","Day","Hypo",1,66.6666666666667,1.39083333333333,0.00198866245719816,0,0.00997238466147394,0.00737057120542016,3,0.14,5.6,0,0,0,247533.333333333,189600,7266.66666666667,40866.6666666667,1400,0,0,0.00508762034577824,0.00508762034577824,0.00508762034577824,0.00508762034577824,0.00508762034577824,0.00508762034577824,0.00508762034577824,0.00508762034577824,0
"97",99,99,"RE","7/29/13","23:30","Night","PML",0,0,1.09,0.00284269174794431,0.00193809332097732,0.00842238532110092,0.00721693120181497,0.25,4.85,0,0,0,0,243666.666666667,55133.3333333333,3933.33333333333,25466.6666666667,0,0,0,0,0,0,0,0,0,0,0,0.0660772692094114
"98",100,100,"RE","7/29/13","23:30","Night","Hypo",4,266.666666666667,1.39083333333333,0.00198866245719816,0,0.00997238466147394,0.00737057120542016,3,0.14,5.6,0,0,0,243666.666666667,188533.333333333,10266.6666666667,57266.6666666667,2600,0,0,0.0144039121477877,0.0144039121477877,0.0144039121477877,0.0144039121477877,0.0144039121477877,0.0144039121477877,0.0144039121477877,0.0144039121477877,0
"99",101,101,"BR","5/21/13","11:00","Day","PML",8,533.333333333333,1.1395,0.000658980098008794,0,0.0103021184730145,0.00205464674245122,0.75,10.67,18,22.29,0.823009699,0.002357922787635,383066.666666667,241866.666666667,6200,124733.333333333,66.6666666666667,1203.66,0.416480129463343,0.0477100511943471,0.0477032789410605,0.0477320002092979,0.0479904916234345,0.0484213106469956,0.0491393423529308,0.0505754057648011,0.0620639130597635,0.0421908652183765
"100",102,102,"BR","5/21/13","11:00","Day","Hypo",1,66.6666666666667,2.606,0.000674217522093768,0.000609719266077372,0.0238414351496546,0.00119455599901808,3,8.89,11.7,0,0.823009699,0.002357922787635,383066.666666667,141200,5200,74600,66.6666666666667,0,0,0.00710962330371575,0.00710962330371575,0.00710962330371575,0.00710962330371575,0.00710962330371575,0.00710962330371575,0.00710962330371575,0.00710962330371575,0.216107935217701
"101",103,103,"TU","7/30/13","13:30","Day","PML",0,0,1.71214285714286,0.00146844495127045,0.00196950923659859,0.0135907434292866,0.0022967305317758,0.25,8.02333333333333,0,289.8,0.403333333,0.001155549999045,220733.333333333,22866.6666666667,533.333333333333,4400,1000,15649.2,0.419987174597459,5.85709516614149e-06,0,5.06866442039035e-05,0.000506866442039035,0.00126716610509759,0.00253433221019517,0.00506866442039035,0.0253433221019517,0.15149298697613
"102",104,104,"TU","7/30/13","13:30","Day","Hypo",7,466.666666666667,1.06,0.00251057457601482,0.00237707996670909,0.00934545687331536,0.00729087182498306,4.5,0.76,5.7,0,0.403333333,0.001155549999045,220733.333333333,197866.666666667,8733.33333333333,40000,400,0,0,0.0296324757544183,0.0296324757544183,0.0296324757544183,0.0296324757544183,0.0296324757544183,0.0296324757544183,0.0296324757544183,0.0296324757544183,0.256496425577825
"103",105,105,"TU","7/30/13","23:30","Night","PML",81,5400,1.71214285714286,0.00146844495127045,0.00196950923659859,0.0135907434292866,0.0022967305317758,0.25,8.02333333333333,0,0,0.403333333,0.001155549999045,220000,57800,0,6133.33333333333,133.333333333333,0,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.15149298697613
"104",106,106,"TU","7/30/13","23:30","Night","Hypo",147,9800,1.06,0.00251057457601482,0.00237707996670909,0.00934545687331536,0.00729087182498306,4.5,0.76,5.7,0,0.403333333,0.001155549999045,220000,162200,2733.33333333333,24133.3333333333,400,0,0,1.98826684879036,1.98826684879036,1.98826684879036,1.98826684879036,1.98826684879036,1.98826684879036,1.98826684879036,1.98826684879036,0.256496425577825
"105",107,107,"RB","7/31/13","0:30","Night","PML",52,3466.66666666667,0.7015,0,0,0.010737840342124,0.00263924607480592,1,6.84,19.5,0,0.769349299,0.002204185741635,291666.666666667,197533.333333333,130400,29066.6666666667,30733.3333333333,0,0,0.0147426544580118,0.0147426544580118,0.0147426544580118,0.0147426544580118,0.0147426544580118,0.0147426544580118,0.0147426544580118,0.0147426544580118,0.0431867048348097
"106",108,108,"RB","7/31/13","0:30","Night","Hypo",26,1733.33333333333,1.49,0,0,0.00773927293064877,0.00331414876452748,4,0.06,10.3,0,0.769349299,0.002204185741635,291666.666666667,94133.3333333333,70866.6666666667,11533.3333333333,10533.3333333333,0,0,0.0135637968578885,0.0135637968578885,0.0135637968578885,0.0135637968578885,0.0135637968578885,0.0135637968578885,0.0135637968578885,0.0135637968578885,0
"107",109,109,"CB","7/31/13","11:30","Day","PML",20,1333.33333333333,1.24857142857143,0.00242203038094052,0.00141006935676363,0.00630233409610984,0.00823127747210928,0.25,6.8025,0,91.83,0,0,148133.333333333,109000,9800,72666.6666666667,25466.6666666667,4958.82,0.418670431218961,0.0754490636312689,0.0754490636312689,0.0755241189006486,0.076199616325066,0.0773254453657615,0.0792018271002541,0.0829545905692393,0.112976698321121,0.0347707069317419
"108",110,110,"CB","7/31/13","11:30","Day","Hypo",109,7266.66666666667,1.01357142857143,0.00190877366249152,0,0.00842641649048626,0.00666549744591258,4,0.1,6.1,0,0,0,148133.333333333,39133.3333333333,3933.33333333333,30733.3333333333,3800,0,0,1.02450876827443,1.02450876827443,1.02450876827443,1.02450876827443,1.02450876827443,1.02450876827443,1.02450876827443,1.02450876827443,0
"109",111,111,"CB","7/31/13","23:30","Night","PML",58,3866.66666666667,1.24857142857143,0.00242203038094052,0.00141006935676363,0.00630233409610984,0.00823127747210928,0.25,6.8025,0,0,0,0,187533.333333333,129333.333333333,13066.6666666667,95133.3333333333,13933.3333333333,0,0,0.16410171339801,0.16410171339801,0.16410171339801,0.16410171339801,0.16410171339801,0.16410171339801,0.16410171339801,0.16410171339801,0.0347707069317419
"110",112,112,"CB","7/31/13","23:30","Night","Hypo",69,4600,1.01357142857143,0.00190877366249152,0,0.00842641649048626,0.00666549744591258,4,0.1,6.1,0,0,0,187533.333333333,58200,9733.33333333333,41000,6933.33333333333,0,0,0.262082141236974,0.262082141236974,0.262082141236974,0.262082141236974,0.262082141236974,0.262082141236974,0.262082141236974,0.262082141236974,0
"111",113,113,"WL","5/21/13","23:30","Night","PML",14,933.333333333333,0.604,0,0,0.00495658112582782,0.00502198176345574,0.5,9.12,18.5,0,0.403333333,0.001155549999045,33866.6666666667,15933.3333333333,3400,5533.33333333333,1533.33333333333,0,0,0.152229581326619,0.152229581326619,0.152229581326619,0.152229581326619,0.152229581326619,0.152229581326619,0.152229581326619,0.152229581326619,0.00529969968169769
"112",114,114,"WL","5/21/13","23:30","Night","Hypo",27,1800,NA,NA,NA,NA,NA,4,7.28,5.7,0,0.403333333,0.001155549999045,33866.6666666667,17933.3333333333,1333.33333333333,7733.33333333333,1666.66666666667,0,0,0.74864333388127,0.74864333388127,0.74864333388127,0.74864333388127,0.74864333388127,0.74864333388127,0.74864333388127,0.74864333388127,NA
"113",115,115,"DW","8/1/13","23:30","Night","PML",50,3333.33333333333,0.614,0.00134969674659733,0.00111226131878599,0.00534936156351792,0.00687988315777546,0.5,8.95,21.6,0,2.144472789,0.006143914540485,250533.333333333,122533.333333333,94000,17400,1733.33333333333,0,0,0.0196649155209159,0.0196649155209159,0.0196649155209159,0.0196649155209159,0.0196649155209159,0.0196649155209159,0.0196649155209159,0.0196649155209159,0.0158995698835807
"114",116,116,"DW","8/1/13","23:30","Night","Hypo",48,3200,0.444,0.00220945950844282,0.00184532796877429,0.00307594594594595,0.0106429796979717,4.5,0.89,7.9,0,2.144472789,0.006143914540485,250533.333333333,128000,78266.6666666667,36666.6666666667,5133.33333333333,0,0,0.0226732790878294,0.0226732790878294,0.0226732790878294,0.0226732790878294,0.0226732790878294,0.0226732790878294,0.0226732790878294,0.0226732790878294,-0.134030578876882
"115",117,117,"DW","8/2/13","10:30","Day","PML",2,133.333333333333,0.614,0.00134969674659733,0.00111226131878599,0.00534936156351792,0.00687988315777546,0.5,7.39,20.8,325.5,2.144472789,0.006143914540485,216866.666666667,58133.3333333333,27400,7933.33333333333,800,17577,0.420103441482654,0.00273025738711678,0.00269854315177531,0.00275016209134956,0.00321473254751783,0.0039890166411316,0.00527949013048789,0.00786043710920048,0.0285080129389011,0.0160915140840617
"116",118,118,"DW","8/2/13","10:30","Day","Hypo",22,1466.66666666667,0.444,0.00220945950844282,0.00184532796877429,0.00307594594594595,0.0106429796979717,4.5,0.81,8,0.45,2.144472789,0.006143914540485,216866.666666667,158733.333333333,101733.333333333,46200,6933.33333333333,24.3,0.401055588035551,0.00802373550348532,0.00799483197193728,0.00804187613467356,0.00846527359930014,0.00917093604034443,0.0103470401087516,0.0126992482455659,0.0315169133400804,-0.134231775605019
"117",119,119,"WL","5/22/13","11:00","Day","PML",0,0,0.604,0,0,0.00495658112582782,0.00502198176345574,0.5,11.21,17,53,0.403333333,0.001155549999045,17733.3333333333,12066.6666666667,333.333333333333,4933.33333333333,333.333333333333,2862,0.417910038187335,7.21860659698986e-05,0,0.000624690113189014,0.00624690113189014,0.0156172528297253,0.0312345056594507,0.0624690113189014,0.312345056594507,0.00518178792053305
"118",120,120,"WL","5/22/13","11:00","Day","Hypo",45,3000,NA,NA,NA,NA,NA,4,9.32,5.8,1.17,0.403333333,0.001155549999045,17733.3333333333,5666.66666666667,66.6666666666667,2533.33333333333,533.333333333333,63.18,0.40737532302672,24.9548463886326,24.9547777960422,24.9553713886204,24.9607137218238,24.969617610496,24.9844574249498,25.0141370538574,25.2515740851178,NA
"119",121,121,"RB","5/22/13","23:00","Night","PML",9,600,0.7685,0.00128713885109455,0,0.00474903345724907,0.0025069814709453,0.75,10.98,15.8,0,0.769349299,0.002204185741635,378600,191533.333333333,2800,75600,16666.6666666667,0,0,0.118832275219249,0.118832275219249,0.118832275219249,0.118832275219249,0.118832275219249,0.118832275219249,0.118832275219249,0.118832275219249,0.000220478406328889
"120",122,122,"RB","5/22/13","23:00","Night","Hypo",30,2000,1.34833333333333,0.00121325892105042,0.00326808394448642,0.00431041409147095,0.00535298208812803,4.5,7.8,6,0,0.769349299,0.002204185741635,378600,187066.666666667,3800,60600,19000,0,0,0.291868746152541,0.291868746152541,0.291868746152541,0.291868746152541,0.291868746152541,0.291868746152541,0.291868746152541,0.291868746152541,-0.00526607051758514
"121",123,123,"RB","5/22/12","23:00","Night","PML",0,0,0.7685,0.00128713885109455,0,0.00474903345724907,0.0025069814709453,0.75,10.98,15.8,0,0.769349299,0.002204185741635,378600,191533.333333333,2800,75600,16666.6666666667,0,0,0,0,0,0,0,0,0,0,0.000220478406328889
"122",124,124,"RB","5/22/12","23:00","Night","Hypo",16,1066.66666666667,1.34833333333333,0.00121325892105042,0.00326808394448642,0.00431041409147095,0.00535298208812803,4.5,7.8,6,0,0.769349299,0.002204185741635,378600,187066.666666667,3800,60600,19000,0,0,0.155663331281356,0.155663331281356,0.155663331281356,0.155663331281356,0.155663331281356,0.155663331281356,0.155663331281356,0.155663331281356,-0.00526607051758514
"123",125,125,"RB","5/23/13","11:00","Day","PML",2,133.333333333333,0.7685,0.00128713885109455,0,0.00474903345724907,0.0025069814709453,0.75,9.26,14.4,70.2428571428571,0.769349299,0.002204185741635,386866.666666667,250200,2866.66666666667,113866.666666667,41266.6666666667,3793.11428571428,0.418312028379379,0.0257993757689805,0.0257930519855733,0.0258217418699499,0.0260799508293393,0.0265102990949883,0.0272275462044032,0.0286620404232331,0.0401379941738723,0.0002158966367553
"124",126,126,"RB","5/23/13","11:00","Day","Hypo",0,0,1.34833333333333,0.00121325892105042,0.00326808394448642,0.00431041409147095,0.00535298208812803,4.5,6.03,6,0.493333333333333,0.769349299,0.002204185741635,386866.666666667,136666.666666667,1800,50400,7400,26.64,0.401813152781354,5.83478124892381e-06,0,2.64713682640726e-05,0.000264713682640726,0.000661784206601815,0.00132356841320363,0.00264713682640726,0.0132356841320363,-0.00526607051758514
"125",127,127,"HB","5/23/13","23:30","Night","PML",74,4933.33333333333,2.01888888888889,0,0.000441748409331279,0.00690649697303247,0.00105819948887614,0.5,7.17,14.4,0,1.57274487,0.00450591405255,126533.333333333,12266.6666666667,3133.33333333333,2133.33333333333,200,0,0,0.873122249128666,0.873122249128666,0.873122249128666,0.873122249128666,0.873122249128666,0.873122249128666,0.873122249128666,0.873122249128666,0.0803603452054191
"126",128,128,"HB","5/23/13","23:30","Night","Hypo",84,5600,1.8525,0,0,0.00357412955465587,0.000658204972621992,3,1.77,5,0,1.57274487,0.00450591405255,126533.333333333,114266.666666667,266.666666666667,68333.3333333333,66.6666666666667,0,0,11.6455629714864,11.6455629714864,11.6455629714864,11.6455629714864,11.6455629714864,11.6455629714864,11.6455629714864,11.6455629714864,-0.0327120247801089
"127",129,129,"HB","5/24/13","11:30","Day","PML",0,0,2.01888888888889,0,0.000441748409331279,0.00690649697303247,0.00105819948887614,0.5,6.97,15.3,11.45,1.57274487,0.00450591405255,180466.666666667,127666.666666667,733.333333333333,76733.3333333333,266.666666666667,618.3,0.415127278913042,2.72921567184485e-05,0,6.05696344851567e-05,0.000605696344851568,0.00151424086212892,0.00302848172425784,0.00605696344851567,0.0302848172425784,0.0814525657664297
"128",130,130,"HB","5/24/13","11:30","Day","Hypo",7,466.666666666667,1.8525,0,0,0.00357412955465587,0.000658204972621992,3,1.61,4.8,0,1.57274487,0.00450591405255,180466.666666667,52800,266.666666666667,29133.3333333333,133.333333333333,0,0,0.970463580957199,0.970463580957199,0.970463580957199,0.970463580957199,0.970463580957199,0.970463580957199,0.970463580957199,0.970463580957199,-0.0326140357627863
"129",131,131,"TU","5/27/13","11:00","Day","PML",44,2933.33333333333,0.897777777777778,0.00179064007831311,0.00178077749057683,0.00755183168316832,0.00410122268008956,0.5,9.06,17,164.288,0.403333333,0.001155549999045,180733.333333333,11533.3333333333,133.333333333333,3466.66666666667,0,8871.552,0.419377469312577,12.2001207218125,12.2001135891762,12.2001753142098,12.2007308395121,12.2016567150158,12.2031998408554,12.2062860925345,12.2309761059678,0.0692055266439528
