"","lakeID","Sample.date","taxa","sample.point","day.max.depth","night.max.depth","uniqueID","metaDepth","bottomDepth","strategy"
"66","HB","05/24/13","calanoids",1,3,0,"HB_05/24/13",0.75,1.5,"reverse"
"67","HB","05/24/13","cyclopoids",1,1,3,"HB_05/24/13",0.75,1.5,"noDVM"
"68","HB","05/24/13","holopedium",1,1,0,"HB_05/24/13",0.75,1.5,"reverse"
"69","HB","05/24/13","bosmina",1,2,0,"HB_05/24/13",0.75,1.5,"reverse"
"70","HB","05/24/13","diaphanosoma",1,3,3,"HB_05/24/13",0.75,1.5,"noDVM"
"71","HB","05/24/13","chydorus",1,3,3,"HB_05/24/13",0.75,1.5,"noDVM"
"72","HB","05/24/13","nauplii",1,1,2,"HB_05/24/13",0.75,1.5,"noDVM"
"73","RS","06/13/13","daphnia",2,0,0,"RS_06/13/13",2,3,"bottom"
"74","RS","06/13/13","calanoids",2,0,3,"RS_06/13/13",2,3,"normal"
"75","RS","06/13/13","cyclopoids",2,2,2,"RS_06/13/13",2,3,"noDVM"
"76","RS","06/13/13","holopedium",2,4,0,"RS_06/13/13",2,3,"reverse"
"77","RS","06/13/13","bosmina",2,0,0,"RS_06/13/13",2,3,"bottom"
"78","RS","06/13/13","diaphanosoma",2,2,4,"RS_06/13/13",2,3,"noDVM"
"79","RS","06/13/13","chydorus",2,4,4,"RS_06/13/13",2,3,"noDVM"
"80","RS","06/13/13","nauplii",2,0,2,"RS_06/13/13",2,3,"bottom"
"81","TU","06/10/13","daphnia",2,3,10.5,"TU_06/10/13",1.25,2.5,"noDVM"
"82","TU","06/10/13","calanoids",2,0,4.5,"TU_06/10/13",1.25,2.5,"normal"
"83","TU","06/10/13","cyclopoids",2,7.5,6,"TU_06/10/13",1.25,2.5,"noDVM"
"84","TU","06/10/13","holopedium",2,4.5,10.5,"TU_06/10/13",1.25,2.5,"noDVM"
"85","TU","06/10/13","bosmina",2,1.5,0,"TU_06/10/13",1.25,2.5,"reverse"
"86","TU","06/10/13","diaphanosoma",2,10.5,0,"TU_06/10/13",1.25,2.5,"reverse"
"87","TU","06/10/13","chydorus",2,10.5,10.5,"TU_06/10/13",1.25,2.5,"noDVM"
"88","TU","06/10/13","nauplii",2,3,3,"TU_06/10/13",1.25,2.5,"noDVM"
"89","RE","06/14/13","daphnia",2,6,0,"RE_06/14/13",1,2,"reverse"
"90","RE","06/14/13","calanoids",2,0,0,"RE_06/14/13",1,2,"bottom"
"91","RE","06/14/13","cyclopoids",2,0,0,"RE_06/14/13",1,2,"bottom"
"92","RE","06/14/13","holopedium",2,6,12,"RE_06/14/13",1,2,"noDVM"
"93","RE","06/14/13","bosmina",2,0,2,"RE_06/14/13",1,2,"normal"
"94","RE","06/14/13","diaphanosoma",2,0,2,"RE_06/14/13",1,2,"normal"
"95","RE","06/14/13","chydorus",2,10,10,"RE_06/14/13",1,2,"noDVM"
"96","RE","06/14/13","nauplii",2,8,0,"RE_06/14/13",1,2,"reverse"
"97","HB","06/07/13","daphnia",2,0,0,"HB_06/07/13",1,2,"bottom"
"98","HB","06/07/13","calanoids",2,1,0,"HB_06/07/13",1,2,"bottom"
"99","HB","06/07/13","cyclopoids",2,0,0,"HB_06/07/13",1,2,"bottom"
"100","HB","06/07/13","holopedium",2,1,0,"HB_06/07/13",1,2,"bottom"
"101","HB","06/07/13","bosmina",2,0,0,"HB_06/07/13",1,2,"bottom"
"102","HB","06/07/13","diaphanosoma",2,1,1,"HB_06/07/13",1,2,"noDVM"
"103","HB","06/07/13","chydorus",2,1,1,"HB_06/07/13",1,2,"noDVM"
"104","HB","06/07/13","nauplii",2,0,0,"HB_06/07/13",1,2,"bottom"
"105","RE","05/31/13","daphnia",1,2,2,"RE_05/31/13",1.5,2.5,"noDVM"
"106","RE","05/31/13","calanoids",1,2,2,"RE_05/31/13",1.5,2.5,"noDVM"
"107","RE","05/31/13","cyclopoids",1,2,2,"RE_05/31/13",1.5,2.5,"noDVM"
"108","RE","05/31/13","holopedium",1,2,2,"RE_05/31/13",1.5,2.5,"noDVM"
"109","RE","05/31/13","bosmina",1,2,2,"RE_05/31/13",1.5,2.5,"noDVM"
"110","RE","05/31/13","diaphanosoma",1,2,8,"RE_05/31/13",1.5,2.5,"noDVM"
"111","RE","05/31/13","chydorus",1,2,2,"RE_05/31/13",1.5,2.5,"noDVM"
"112","RE","05/31/13","nauplii",1,2,2,"RE_05/31/13",1.5,2.5,"noDVM"
"113","BR","06/04/13","daphnia",2,0,2,"BR_06/04/13",2.75,3.5,"bottom"
"114","BR","06/04/13","calanoids",2,1,0,"BR_06/04/13",2.75,3.5,"bottom"
"115","BR","06/04/13","cyclopoids",2,1,2,"BR_06/04/13",2.75,3.5,"bottom"
"116","BR","06/04/13","holopedium",2,3,0,"BR_06/04/13",2.75,3.5,"reverse"
"117","BR","06/04/13","bosmina",2,0,1,"BR_06/04/13",2.75,3.5,"bottom"
"118","BR","06/04/13","diaphanosoma",2,1,0,"BR_06/04/13",2.75,3.5,"bottom"
"119","BR","06/04/13","chydorus",2,3,1,"BR_06/04/13",2.75,3.5,"reverse"
"120","BR","06/04/13","nauplii",2,3,2,"BR_06/04/13",2.75,3.5,"reverse"
"121","RB","06/06/13","daphnia",2,3,4,"RB_06/06/13",2.5,3,"noDVM"
"122","RB","06/06/13","calanoids",2,3,2,"RB_06/06/13",2.5,3,"reverse"
"123","RB","06/06/13","cyclopoids",2,3,2,"RB_06/06/13",2.5,3,"reverse"
"124","RB","06/06/13","holopedium",2,1,1,"RB_06/06/13",2.5,3,"bottom"
"125","RB","06/06/13","bosmina",2,4,1,"RB_06/06/13",2.5,3,"reverse"
"126","RB","06/06/13","diaphanosoma",2,1,0,"RB_06/06/13",2.5,3,"bottom"
"127","RB","06/06/13","chydorus",2,0,0,"RB_06/06/13",2.5,3,"bottom"
"128","RB","06/06/13","nauplii",2,2,0,"RB_06/06/13",2.5,3,"bottom"
"129","CB","06/12/13","daphnia",2,0,0,"CB_06/12/13",1,2,"bottom"
"130","CB","06/12/13","calanoids",2,4,0,"CB_06/12/13",1,2,"reverse"
"131","CB","06/12/13","cyclopoids",2,1,1,"CB_06/12/13",1,2,"noDVM"
"132","CB","06/12/13","holopedium",2,0,4,"CB_06/12/13",1,2,"normal"
"133","CB","06/12/13","bosmina",2,0,0,"CB_06/12/13",1,2,"bottom"
"134","CB","06/12/13","diaphanosoma",2,1,4,"CB_06/12/13",1,2,"noDVM"
"135","CB","06/12/13","chydorus",2,4,4,"CB_06/12/13",1,2,"noDVM"
"136","CB","06/12/13","nauplii",2,4,4,"CB_06/12/13",1,2,"noDVM"
"137","DW","06/11/13","daphnia",2,1,2,"DW_06/11/13",2,3.5,"bottom"
"138","DW","06/11/13","calanoids",2,5,1,"DW_06/11/13",2,3.5,"reverse"
"139","DW","06/11/13","cyclopoids",2,3,5,"DW_06/11/13",2,3.5,"noDVM"
"140","DW","06/11/13","holopedium",2,5,3,"DW_06/11/13",2,3.5,"noDVM"
"141","DW","06/11/13","bosmina",2,3,1,"DW_06/11/13",2,3.5,"reverse"
"142","DW","06/11/13","diaphanosoma",2,2,3,"DW_06/11/13",2,3.5,"noDVM"
"143","DW","06/11/13","chydorus",2,3,3,"DW_06/11/13",2,3.5,"noDVM"
"144","DW","06/11/13","nauplii",2,1,1,"DW_06/11/13",2,3.5,"bottom"
"145","DW","08/02/13","daphnia",3,3,0,"DW_08/02/13",2.75,4.5,"reverse"
"146","DW","08/02/13","calanoids",3,3,1,"DW_08/02/13",2.75,4.5,"reverse"
"147","DW","08/02/13","cyclopoids",3,3,5,"DW_08/02/13",2.75,4.5,"noDVM"
"148","DW","08/02/13","holopedium",3,5,2,"DW_08/02/13",2.75,4.5,"reverse"
"149","DW","08/02/13","bosmina",3,3,4,"DW_08/02/13",2.75,4.5,"noDVM"
"150","DW","08/02/13","diaphanosoma",3,4,4,"DW_08/02/13",2.75,4.5,"noDVM"
"151","DW","08/02/13","chydorus",3,4,4,"DW_08/02/13",2.75,4.5,"noDVM"
"152","DW","08/02/13","nauplii",3,0,5,"DW_08/02/13",2.75,4.5,"normal"
"153","HB","07/26/13","daphnia",3,1,1,"HB_07/26/13",1.5,3,"bottom"
"154","HB","07/26/13","calanoids",3,0,1,"HB_07/26/13",1.5,3,"bottom"
"155","HB","07/26/13","cyclopoids",3,0,1,"HB_07/26/13",1.5,3,"bottom"
"156","HB","07/26/13","holopedium",3,1,1,"HB_07/26/13",1.5,3,"bottom"
"157","HB","07/26/13","bosmina",3,1,0,"HB_07/26/13",1.5,3,"bottom"
"158","HB","07/26/13","diaphanosoma",3,1,0,"HB_07/26/13",1.5,3,"bottom"
"159","HB","07/26/13","chydorus",3,1,1,"HB_07/26/13",1.5,3,"bottom"
"160","HB","07/26/13","nauplii",3,0,0,"HB_07/26/13",1.5,3,"bottom"
"161","WL","07/25/13","daphnia",3,1.5,3,"WL_07/25/13",3,4,"bottom"
"162","WL","07/25/13","calanoids",3,0,9,"WL_07/25/13",3,4,"normal"
"163","WL","07/25/13","cyclopoids",3,1.5,3,"WL_07/25/13",3,4,"bottom"
"164","WL","07/25/13","holopedium",3,0,3,"WL_07/25/13",3,4,"bottom"
"165","WL","07/25/13","bosmina",3,10.5,6,"WL_07/25/13",3,4,"noDVM"
"166","WL","07/25/13","diaphanosoma",3,9,9,"WL_07/25/13",3,4,"noDVM"
"167","WL","07/25/13","chydorus",3,9,9,"WL_07/25/13",3,4,"noDVM"
"168","WL","07/25/13","nauplii",3,0,1.5,"WL_07/25/13",3,4,"bottom"
"169","BA","06/03/13","daphnia",2,1,0,"BA_06/03/13",2.5,3,"bottom"
"170","BA","06/03/13","calanoids",2,2,4,"BA_06/03/13",2.5,3,"normal"
"171","BA","06/03/13","cyclopoids",2,6,1,"BA_06/03/13",2.5,3,"reverse"
"172","BA","06/03/13","holopedium",2,2,0,"BA_06/03/13",2.5,3,"bottom"
"173","BA","06/03/13","bosmina",2,1,4,"BA_06/03/13",2.5,3,"normal"
"174","BA","06/03/13","diaphanosoma",2,1,4,"BA_06/03/13",2.5,3,"normal"
