"","X","X.2","X.1","lakeID","dateSample","time","TOD","depthClass","counts","ind_m3","mgC_L","EPA_mgC","DHA_mgC","PC","C18_mgC","depth","DOmgL","temp","PAR","CPUE","fish_m3","zoops.allDepths","depthZoops","Daphnia","Copepods","Holopedium","lx","reactionDist","muEst","mu0","mu0.01","mu0.1","mu0.25","mu0.5","mu1","mu5","growth"
"1",1,1,1,"TU","5/28/13","12:00","Day","PML",0,0,0.897777777777778,0.00179064007831311,0.00178077749057683,0.00755183168316832,0.00410122268008956,0.5,8.89,16.4,194.14,0.403333333,0.001155549999045,93933.3333333333,5733.33333333333,133.333333333333,3466.66666666667,0,10483.56,0.419564395504901,1.37358539600326e-05,0,0.000118868538543417,0.00118868538543417,0.00297171346358542,0.00594342692717083,0.0118868538543417,0.0594342692717083,0.0344401359280074
"2",2,2,2,"TU","5/28/13","12:00","Day","Hypo",0,0,1.03357142857143,0,0,0.00925033724948169,0.000932473604356677,7.5,0.16,4.1,0,0.403333333,0.001155549999045,93933.3333333333,88200,0,80666.6666666667,133.333333333333,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0174464628036598
"3",3,3,3,"DW","5/28/13","23:00","Night","PML",21,1400,0.5465,0.00157971307500425,0.00140826445278943,0.00641224885635865,0.00532277873127123,0.75,8.8,16.7,0,2.144472789,0.006143914540485,207866.666666667,73000,10933.3333333333,33533.3333333333,26533.3333333333,0,0,0.0710095303139416,0.0710095303139416,0.0710095303139416,0.0710095303139416,0.0710095303139416,0.0710095303139416,0.0710095303139416,0.0710095303139416,0.0207043477323665
"4",4,4,4,"DW","5/28/13","23:00","Night","Hypo",68,4533.33333333333,1.0415,0,0.000534557241133903,0.00699219461697723,0.00488128993817289,4,5.66,6.3,0,2.144472789,0.006143914540485,207866.666666667,134866.666666667,15333.3333333333,92600,24266.6666666667,0,0,0.163954095664819,0.163954095664819,0.163954095664819,0.163954095664819,0.163954095664819,0.163954095664819,0.163954095664819,0.163954095664819,0.0333085613573907
"5",5,5,5,"DW","5/29/13","11:30","Day","PML",0,0,0.5465,0.00157971307500425,0.00140826445278943,0.00641224885635865,0.00532277873127123,0.75,8.8,16.7,129.7,2.144472789,0.006143914540485,281333.333333333,76133.3333333333,10666.6666666667,27333.3333333333,37133.3333333333,7003.8,0.41910104876334,2.43304910190926e-05,0,3.96009593863458e-05,0.000396009593863458,0.000990023984658645,0.00198004796931729,0.00396009593863458,0.0198004796931729,0.0207043477323665
"6",6,6,6,"DW","5/29/13","11:30","Day","Hypo",10,666.666666666667,1.0415,0,0.000534557241133903,0.00699219461697723,0.00488128993817289,4,5.66,6.3,0.1125,2.144472789,0.006143914540485,281333.333333333,205200,22266.6666666667,168400,10866.6666666667,6.075,0.38133248720202,0.0166234547602168,0.0166033119068811,0.0166360969549201,0.0169311623872716,0.0174229381078575,0.0182425643088339,0.0198818167107868,0.0329958359264097,0.0333085613573907
"7",7,7,7,"CB","5/29/13","23:00","Night","PML",92,6133.33333333333,0.847,0.00122100829380117,0,0.00830107792207792,0.00514781113330439,0.5,8.14,20.6,0,0,0,126066.666666667,93600,6733.33333333333,86200,666.666666666667,0,0,0.505135216113507,0.505135216113507,0.505135216113507,0.505135216113507,0.505135216113507,0.505135216113507,0.505135216113507,0.505135216113507,0.0219518035955637
"8",8,8,8,"CB","5/29/13","23:00","Night","Hypo",18,1200,1.078,0,0.000791774034194011,0.00842641649048626,0.000959918555297811,3.5,1.81,5,0,0,0,126066.666666667,32466.6666666667,3400,25933.3333333333,2666.66666666667,0,0,0.195723747419939,0.195723747419939,0.195723747419939,0.195723747419939,0.195723747419939,0.195723747419939,0.195723747419939,0.195723747419939,0.0480550531405811
"9",9,9,9,"CB","5/28/13","11:00","Day","PML",3,200,0.847,0.00122100829380117,0,0.00830107792207792,0.00514781113330439,0.5,8.14,20.6,378.466,0,0,91333.3333333333,41733.3333333333,4466.66666666667,36466.6666666667,800,20437.164,0.420250363036202,0.0248306246726789,0.0248306246726789,0.0249532771404215,0.0260571493501057,0.0278969363662459,0.0309632480598129,0.0370958714469469,0.0861568585440191,0.0219518035955637
"10",10,10,10,"CB","5/28/13","11:00","Day","Hypo",35,2333.33333333333,1.078,0,0.000791774034194011,0.00842641649048626,0.000959918555297811,3.5,1.81,5,0,0,0,91333.3333333333,49600,3733.33333333333,43000,2466.66666666667,0,0,0.346594136056142,0.346594136056142,0.346594136056142,0.346594136056142,0.346594136056142,0.346594136056142,0.346594136056142,0.346594136056142,0.0480550531405811
"11",11,11,11,"RE","5/31/13","11:30","Day","PML",15,1000,1.09,0.000963143315524183,0.000875684953434777,0.00842238532110092,0.00132191221778683,0.5,6.12,21.2,69.985,0,0,146733.333333333,0,0,0,0,3779.19,0.418306951953,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.0565390583204635
"12",12,12,12,"RE","5/31/13","11:30","Day","Hypo",1,66.6666666666667,1.39083333333333,0,0,0.00997238466147394,0.00150618427607992,9,0.05,4,0,0,0,146733.333333333,146733.333333333,3600,106466.666666667,800,0,0,0.010269455883145,0.010269455883145,0.010269455883145,0.010269455883145,0.010269455883145,0.010269455883145,0.010269455883145,0.010269455883145,0.0173625687967739
"13",13,13,13,"RE","5/30/13","23:00","Night","PML",0,0,1.09,0.000963143315524183,0.000875684953434777,0.00842238532110092,0.00132191221778683,0.5,5.49,21.5,0,0,0,302666.666666667,197133.333333333,2933.33333333333,128933.333333333,1666.66666666667,0,0,0,0,0,0,0,0,0,0,0.0562924874872053
"14",14,14,14,"RE","5/30/13","23:00","Night","Hypo",5,333.333333333333,1.39083333333333,0,0,0.00997238466147394,0.00150618427607992,9,0.05,4,0,0,0,302666.666666667,105533.333333333,2466.66666666667,78000,66.6666666666667,0,0,0.0749392726607874,0.0749392726607874,0.0749392726607874,0.0749392726607874,0.0749392726607874,0.0749392726607874,0.0749392726607874,0.0749392726607874,0.0173625687967739
"15",15,15,15,"BA","6/2/13","23:30","Night","PML",37,2466.66666666667,0.9455,0.000640376156886874,0,0.00450775295109612,0.00172769302085614,1,8.54,17.2,0,0.769349299,0.002204185741635,227266.666666667,130800,10133.3333333333,101466.666666667,17266.6666666667,0,0,0.134989295095551,0.134989295095551,0.134989295095551,0.134989295095551,0.134989295095551,0.134989295095551,0.134989295095551,0.134989295095551,-0.0035653745626274
"16",16,16,16,"BA","6/2/13","23:30","Night","Hypo",27,1800,0.832,0.00207114769415166,0.00177004522066865,0.00587986595174263,0.00276042295595162,6,3.9,5.5,0,0.769349299,0.002204185741635,227266.666666667,96466.6666666667,9466.66666666667,71133.3333333333,12666.6666666667,0,0,0.105442723081869,0.105442723081869,0.105442723081869,0.105442723081869,0.105442723081869,0.105442723081869,0.105442723081869,0.105442723081869,0.0124339286934634
"17",17,17,17,"BA","6/3/13","12:00","Day","PML",0,0,0.9455,0.000640376156886874,0,0.00450775295109612,0.00172769302085614,1,8.8,16.6,1371.5,0.769349299,0.002204185741635,261933.333333333,136066.666666667,12266.6666666667,87933.3333333333,33133.3333333333,74061,0.421347373987518,9.47605136531762e-06,0,4.29911653374936e-05,0.000429911653374936,0.00107477913343734,0.00214955826687468,0.00429911653374936,0.0214955826687468,-0.00353337378790308
"18",18,18,18,"BA","6/3/13","12:00","Day","Hypo",0,0,0.832,0.00207114769415166,0.00177004522066865,0.00587986595174263,0.00276042295595162,6,3.66,5.4,10.61,0.769349299,0.002204185741635,261933.333333333,125866.666666667,4200,107733.333333333,12466.6666666667,572.94,0.414955088193739,9.19070891775876e-06,0,4.16966172321819e-05,0.000416966172321819,0.00104241543080455,0.00208483086160909,0.00416966172321819,0.0208483086160909,0.0124154079561791
