Row,Lake_ID,Site Name,date set,datesample,datetimeset,datetimesample,Sample_ID,Fish_ID,Crew,Gear,gear_code,Effort,Effort_units,Fish_Num,Species,SpeciesFull,Length_mm,Weight_g,Tag Apply,Tag Recapture,Clip_apply,Clip_recap,tag_clip_type,Sex,Mort.,Removed,Diet,Otolith,Tissue,Comments,MetaID
20,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__020,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,020,BHD,black_bullhead,,
21,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__021,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,021,BHD,black_bullhead,,
22,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__022,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,022,BHD,black_bullhead,,
23,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__023,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,023,BHD,black_bullhead,,
24,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__024,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,024,BHD,black_bullhead,,
25,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__025,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,025,BHD,black_bullhead,,
26,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__026,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,026,BHD,black_bullhead,,
27,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__027,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,027,BHD,black_bullhead,,
28,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__028,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,028,BHD,black_bullhead,,
29,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__029,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,029,BHD,black_bullhead,,
