Row,Lake_ID,Site Name,date set,datesample,datetimeset,datetimesample,Sample_ID,Fish_ID,Crew,Gear,gear_code,Effort,Effort_units,Fish_Num,Species,SpeciesFull,Length_mm,Weight_g,GonadWeight_g,Tag Apply,Tag Recapture,Clip_apply,Clip_recap,tag_clip_type,Sex,Mort.,Removed,Diet,Otolith,Gonad,Left_eye,Tissue,UseCPUE?,Fresh_frozen,Comments,MetaID,2nd Length,2nd weight,net_location
567,BV,FN1.BV,2013-05-20,2013-05-21,2013-05-20 18:00,2013-05-21 10:45,BV_FN1.BV_20130521_1045_FN_GonadSurvey.20130509,BV_FN1.BV_20130521_1045_FN_GonadSurvey.20130509_054,"NC, KR",FN,fykenet_survey,17,trap_hours,054,BCP,,,,,,,,,,,,,,,,,,,,small,GonadSurvey.20130509,,,north_west_shore
649,ER,FN2.ER,2013-05-20,2013-05-21,2013-05-20 17:00,2013-05-21 12:00,ER_FN2.ER_20130521_1200_FN_GonadSurvey.20130509,ER_FN2.ER_20130521_1200_FN_GonadSurvey.20130509_015,"NC, KR",FN,fykenet_survey,19,trap_hours,015,BCP,,205,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_west_shore
987,BR,FN2.BR,2013-05-24,2013-05-25,2013-05-24 16:50,2013-05-25 12:20,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509_006,"NC, EG",FN,fykenet_survey,19.5,trap_hours,006,BCP,,326,,,,,,,,,,,,,,,,yes,,,GonadSurvey.20130509,,,
988,BR,FN2.BR,2013-05-24,2013-05-25,2013-05-24 16:50,2013-05-25 12:20,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509_007,"NC, EG",FN,fykenet_survey,19.5,trap_hours,007,BCP,,310,,,,,,,,,,,,,,,,yes,,,GonadSurvey.20130509,,,
989,BR,FN2.BR,2013-05-24,2013-05-25,2013-05-24 16:50,2013-05-25 12:20,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509_008,"NC, EG",FN,fykenet_survey,19.5,trap_hours,008,BCP,,320,,,,,,,,,,,,,,,,yes,,,GonadSurvey.20130509,,,
990,BR,FN2.BR,2013-05-24,2013-05-25,2013-05-24 16:50,2013-05-25 12:20,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509_009,"NC, EG",FN,fykenet_survey,19.5,trap_hours,009,BCP,,314,,,,,,,,,,,,,,,,yes,,,GonadSurvey.20130509,,,
991,BR,FN2.BR,2013-05-24,2013-05-25,2013-05-24 16:50,2013-05-25 12:20,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509_010,"NC, EG",FN,fykenet_survey,19.5,trap_hours,010,BCP,,300,,,,,,,,,,,,,,,,yes,,,GonadSurvey.20130509,,,
992,BR,FN2.BR,2013-05-24,2013-05-25,2013-05-24 16:50,2013-05-25 12:20,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509_011,"NC, EG",FN,fykenet_survey,19.5,trap_hours,011,BCP,,273,,,,,,,,,,,,,,,,yes,,,GonadSurvey.20130509,,,
995,BR,FN2.BR,2013-05-24,2013-05-25,2013-05-24 16:50,2013-05-25 12:20,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509_014,"NC, EG",FN,fykenet_survey,19.5,trap_hours,014,BCP,,312,,,,,,,,,,,,,,,,yes,,,GonadSurvey.20130509,,,
997,BR,FN2.BR,2013-05-24,2013-05-25,2013-05-24 16:50,2013-05-25 12:20,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509_016,"NC, EG",FN,fykenet_survey,19.5,trap_hours,016,BCP,,312,,,,,,,,,,,,,,,,yes,,,GonadSurvey.20130509,,,
998,BR,FN2.BR,2013-05-24,2013-05-25,2013-05-24 16:50,2013-05-25 12:20,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509_017,"NC, EG",FN,fykenet_survey,19.5,trap_hours,017,BCP,,246,,,,,,,,,,,,,,,,yes,,,GonadSurvey.20130509,,,
999,BR,FN2.BR,2013-05-24,2013-05-25,2013-05-24 16:50,2013-05-25 12:20,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509_018,"NC, EG",FN,fykenet_survey,19.5,trap_hours,018,BCP,,302,,,,,,,,,,,,,,,,yes,,,GonadSurvey.20130509,,,
1000,BR,FN2.BR,2013-05-24,2013-05-25,2013-05-24 16:50,2013-05-25 12:20,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509_019,"NC, EG",FN,fykenet_survey,19.5,trap_hours,019,BCP,,236,,,,,,,,,,,,,,,,yes,,,GonadSurvey.20130509,,,
1001,BR,FN2.BR,2013-05-24,2013-05-25,2013-05-24 16:50,2013-05-25 12:20,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509_020,"NC, EG",FN,fykenet_survey,19.5,trap_hours,020,BCP,,314,,,,,,,,,,,,,,,,yes,,,GonadSurvey.20130509,,,
1003,BR,FN2.BR,2013-05-24,2013-05-25,2013-05-24 16:50,2013-05-25 12:20,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509_022,"NC, EG",FN,fykenet_survey,19.5,trap_hours,022,BCP,,321,,,,,,,,,,,,,,,,yes,,,GonadSurvey.20130509,,,
1004,BR,FN2.BR,2013-05-24,2013-05-25,2013-05-24 16:50,2013-05-25 12:20,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509,BR_FN2.BR_20130525_1220_FN_GonadSurvey.20130509_023,"NC, EG",FN,fykenet_survey,19.5,trap_hours,023,BCP,,234,,,,,,,,,,,,,,,,yes,,,GonadSurvey.20130509,,,
